slug,title,location,client,date,size,projectCost,architect,contractor,description,tags
260-morehall-road-malvern-pa,"260 Morehall Road - Malvern, PA","Malvern, PA",,,,,,,"Site development retaining walls: 7500 SF of segmental block 1300 SF cast in place 5,000 SF Chick-Fil-A Restaurant 2,400 SF Starbucks Coffee Over $1.2 million in site & highway improvements",retail
6060-ridge-ave-philadelphia-pa,"6060 Ridge Ave - Philadelphia, PA","Philadelphia, PA",,,,,,,Complete Facade Renovation Interior Demolition and Redevelopment of existing Bank Branch Office Fit Out/ Medical Office (Vybe Urgent Care),healthcare | office | remediation | demolition
a-storage-depot-middletown-de,"A Storage Depot - Middletown, DE","Middletown, DE",,,"103,350 SF",,,,"103,350 SF / 3 story climate controlled self storage facility 6000 square feet of covered parking. Light gauge framing building with standing seam metal roof. Coordination of door and corridor contractor. EIFS, brick and metal panel exterior",self-storage
amc-309-cinemas-renovation,"AMC 309 Cinemas - North Wales, PA - Major Exterior Renovation",Major Exterior Renovation,,,,,,,"A interior and exterior renovation of the AMC 309 Cinemas. Updates include building renovations, site work, signage, and landscaping",retail | project-management | landscaping | signage
bank-of-america-kennett-square,"Bank of America - Kennett Square, PA","Kennett Square, PA",,,"3,156 SF",,,,"3,156sf Bank with Drive-Thru Canopy Individual NPDES permit PennDOT Access & Signal Improvements",retail
cardiology-consultants-of-philadelphia-springfield-pa,"CARDIOLOGY CONSULTANTS OF PHILADELPHIA - Springfield, PA","Springfield, PA",,,"10,200 SF",$1.4 million,,,"Fit-out for new Medical office space in existing building. Key Features: 10,200 sf renovation and fit-out of 2nd floor of 3 story building, with operating tenants Structural, electrical and HVAC alterations/improvements for the following areas: Onsite cardiac PET/CT camera and control room Spect camera room Stress test room Medial exam rooms Testing lab Image reading",healthcare | institutional | office | signage
chesterbrook-academy-private-preschool,"Chesterbrook Academy Private Preschool - Malvern, PA","Malvern, PA",,,"13,200 SF",$3.3 million,,,"Turnkey Private Preschool Facility Key Features: Site improvements include multiple stormwater management features/systems, wet and dry utilities with existing tie-ins, toddler & kids playgrounds with equipment, landscaping & irrigation, paving and concrete features 13,200 SF new facility including wood stick frame with wood truss system, EIFS, stone & brick facade, all mechanical equipment installed in",institutional | landscaping
chestnut-hill-college-sugarloaf-campus,Chestnut Hill College - Sugarloaf Campus Philadelphia PA,Sugarloaf Campus Philadelphia PA,,,,,,"Benchmark Site Development, Armor & Sons Electric, Shearon Environmental Design","We competitively bid and were awarded a contract to provide construction management and oversight for the new entrance to their Sugarloaf Campus, including a paved pedestrian trail through the beautiful Wissahickon Valley woods connecting to their main campus",institutional | government | remediation
county-savings-bank-tinicum-pa,"County Savings Bank - Tinicum, PA","Tinicum, PA",,,,,,,Demolition/Re-Construction of Retail Bank Drive Thru lane,retail | remediation | demolition
cvs-jamison,"CVS Pharmacy - Jamison, PA","Jamison, PA",,,"14,000 SF",,,,"Site development 14,000sf Retail Pharmacy Over $1.2 million in site & highway improvements",retail
doylestown-shopping-center-target-doylestown-pa,"Doylestown Shopping Center Target - Doylestown, PA","Doylestown, PA",,,,,Bignell Watkins Hasser,,We performed environmental remediation and demolished an out-parcel Sears Auto Center making a Chick-Fil-A restaurant and Chase Bank branch. We also performed a complete façade renewal and parking lot enhancements . PH&C oversaw the project’s execution in this open and operating shopping center,retail | remediation | project-management
environmental-standards-inc-valley-forge-pa,"Environmental Standards Inc - Valley Forge, PA","Valley Forge, PA",,,"9,000 SF",$1.8 million,,,"Developer Land Purchase / Lease Back w/ Addition Construction Design /Bid /Build Two story 9,000sf office addition Services started from Initial Budgeting for Proforma thru Design and Construction Fully operational building with no business interruption Environmentally sensitive site 8.5 months total project duration Total construction cost $1.8 million",office | remediation
estates-at-saucon-valley-center-valley-pa,"Estates at Saucon Valley - Center Valley, PA","Center Valley, PA",,,,,,Tuskes Homes,"Continuing our expansion into Residential and Multi-Family community projects, we assisted Tuskes Homes complete this residential community located in the beautiful Saucon Valley of Pennsylvania. Located on the same parcel, we also assisted in delivering lots for another community that is being built by Ryan Homes. Key Features: We procured and managed multiple contractors",residential
federal-transit-administration-fta,Federal Transit Administration (FTA),PH&C,,,,,,,"Provided project management oversight support Technical reports oversight Reviews and reporting for each project Project cost, schedule, planning, design, construction, operations and quality assurance/quality control documentation, project cost estimates and project schedules",government | federal-government | project-management
higher-rock-devlopment-montgomery-twp-pa-2,"Atwater South - Malvern, PA - PH&C - Rock Excavation",Rock Excavation,,,,,,,"Major rock removal development required construction of sizable retaining walls. The project involved rock excavation, and stormwater management features",retail | office | healthcare | institutional | residential | mixed-use
higher-rock-devlopment-montgomery-twp-pa,"Higher Rock Development - Montgomery Twp, PA","Montgomery Twp, PA",,,,,,,"Development of this former plant nursery required rock removal management, benefitting the community with retail food and commercial office space",retail | office | mixed-use
lidl-us-llc-bear-delaware,"LiDL US - Bear, Delaware","Bear, Delaware",,,,,,,"Starting in 2023, PH&C began assisting the Lidl US team with their store development projects in the PA, NJ and DE markets as an External Construction Manager. We have continued to perform for Lidl and assist in opening new stores! On July 11, 2025, we participated in our 5th store grand opening, which occurred in",retail | project-management | grocery
lidl-us-llc-harrisburg-pa-paxton-towne-centre,"LiDL US - Harrisburg, PA. Paxton Towne Centre","Harrisburg, PA. Paxton Towne Centre",,,,,,,"Starting in 2023, PH&C began assisting the LiDL US team with their store development projects in the PA, NJ and DE markets as an External Construction Manager. On June 12, 2024, we participated in our FIRST store grand opening, which occurred on Jonestown Road in Harrisburg, PA. Our team worked with the Architect and Engineers",retail | remediation | demolition | project-management | grocery
lidl-us-llc-paramus-new-jersey-2,"LiDL US - Freehold, New Jersey","Freehold, New Jersey",,,,,,,"Starting in 2023, PH&C began assisting the LiDL US team with their store development projects in the PA, NJ and DE markets as an External Construction Manager. On May 9, 2025, we participated in our 4th store grand opening, which occurred in Freehold, NJ. Our team worked with the Architect and Engineers to value engineer",retail | remediation | demolition | project-management | grocery
